1000,1000,11.06.2019 21:30,11.06.2019 22:52
1001,1000,12.06.2019 12:29,12.06.2019 21:12
1002,1000,14.06.2019 16:25,14.06.2019 17:32
1003,1000,14.06.2019 21:25,14.06.2019 23:32
1004,1000,15.06.2019 15:30,15.06.2019 20:25
1005,1001,13.06.2019 12:29,13.06.2019 21:12
1006,1001,15.06.2019 21:25,15.06.2019 22:21
1007,1001,16.06.2019 16:14,16.06.2019 22:25
1008,1002,11.06.2019 21:22,11.06.2019 22:45
1009,1002,12.06.2019 11:21,12.06.2019 21:12
1010,1002,14.06.2019 21:25,14.06.2019 23:32
1011,1003,11.06.2019 21:30,11.06.2019 22:45
1012,1003,12.06.2019 12:29,12.06.2019 21:12
1013,1003,14.06.2019 21:25,14.06.2019 23:32
1014,1003,15.06.2019 15:30,15.06.2019 22:25
1015,1004,11.06.2019 21:22,11.06.2019 22:45
1016,1004,12.06.2019 11:21,12.06.2019 14:12
1017,1004,12.06.2019 16:14,12.06.2019 22:25
1018,1004,14.06.2019 21:25,14.06.2019 23:32
1019,1004,15.06.2019 21:25,15.06.2019 22:21
1020,1007,11.06.2019 21:22,11.06.2019 22:45
1021,1007,12.06.2019 11:21,12.06.2019 14:12
1022,1007,12.06.2019 16:14,16.06.2019 22:25
1023,1007,14.06.2019 21:25,14.06.2019 23:32
1024,1007,15.06.2019 21:25,15.06.2019 22:21
1025,1006,13.06.2019 12:29,13.06.2019 21:12
1026,1010,26.02.2020 19:02,26.02.2020 21:02
1027,1004,26.02.2020 20:16,26.02.2020 23:27
1028,1004,26.02.2020 20:27,26.02.2020 23:27
1029,1000,15.07.2019 21:30,15.07.2019 23:40
1030,1004,26.02.2020 21:41,26.02.2020 23:41
1031,1004,26.02.2020 16:41,26.02.2020 23:41
1032,1000,25.03.2020 19:15,25.03.2020 23:59
1033,1011,26.02.2020 00:02,27.02.2020 00:02
1034,1000,27.02.2020 14:26,27.02.2020 14:40
1035,1000,28.02.2020 13:32,29.02.2020 13:32
1036,1000,29.02.2020 13:33,29.02.2020 13:33
1037,1000,29.02.2020 13:34,29.02.2020 19:33
1038,1012,04.03.2020 10:15,05.03.2020 10:15
1039,1000,12.06.2019 21:57,12.06.2019 23:59
1040,1000,14.06.2020 12:40,14.06.2020 19:12
1041,1000,01.03.2020 15:16,01.03.2020 18:16
1042,1012,03.03.2020 15:17,03.03.2020 15:46
1043,1012,03.03.2020 16:20,03.03.2020 17:18
1044,1011,03.03.2020 15:23,03.03.2020 15:45
1045,1011,02.03.2020 15:24,02.03.2020 15:35
1046,1011,01.03.2020 15:25,01.03.2020 15:45
