1000,1000,11.06.2019 21:30,11.06.2019 22:45
1001,1000,12.06.2019 12:29,12.06.2019 21:12
1002,1000,14.06.2019 16:25,14.06.2019 17:32
1003,1000,14.06.2019 21:25,14.06.2019 23:32
1004,1000,15.06.2019 15:30,15.06.2019 20:25
1005,1001,13.06.2019 12:29,13.06.2019 21:12
1006,1001,15.06.2019 21:25,15.06.2019 22:21
1007,1001,16.06.2019 16:14,16.06.2019 22:25
1008,1002,11.06.2019 21:22,11.06.2019 22:45
1009,1002,12.06.2019 11:21,12.06.2019 21:12
1010,1002,14.06.2019 21:25,14.06.2019 23:32
1011,1003,11.06.2019 21:30,11.06.2019 22:45
1012,1003,12.06.2019 12:29,12.06.2019 21:12
1013,1003,14.06.2019 21:25,14.06.2019 23:32
1014,1003,15.06.2019 15:30,15.06.2019 22:25
1015,1004,11.06.2019 21:22,11.06.2019 22:45
1016,1004,12.06.2019 11:21,12.06.2019 14:12
1017,1004,12.06.2019 16:14,12.06.2019 22:25
1018,1004,14.06.2019 21:25,14.06.2019 23:32
1019,1004,15.06.2019 21:25,15.06.2019 22:21
1020,1007,11.06.2019 21:22,11.06.2019 22:45
1021,1007,12.06.2019 11:21,12.06.2019 14:12
1022,1007,12.06.2019 16:14,16.06.2019 22:25
1023,1007,14.06.2019 21:25,14.06.2019 23:32
1024,1007,15.06.2019 21:25,15.06.2019 22:21
1025,1006,13.06.2019 12:29,13.06.2019 21:12
1026,1006,15.06.2019 21:25,15.06.2019 22:21
